Stephen Curry - 2016 Split Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
vs Trailblazers,7,6,31:08:00,32.7,4.4,7.3,33.7,0.9,3.6,1.3,0.3,3,0.7,2.1,5.0-8.9,0.565,6.1-12.7,0.483,4.3-4.9,0.882,0.69,42,5.7,9.4,41.1,3.9,1.7,0.4,6.2
vs Wizards,2,2,35:11:00,38.5,7,4.5,33.4,0.5,6.5,4,0,6,1.5,3,5.5-12.0,0.458,8.5-12.0,0.708,2.0-2.5,0.8,0.767,43.8,8,5.1,42.6,6.8,4.5,0,2.8
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
at American Airlines Arena,1,1,34:19:00,31,9,10,32.5,1,8,2,0,1,2,2,6.0-14.0,0.429,6.0-12.0,0.5,1.0-1.0,1,0.586,36.1,10.5,11.7,43.1,1.2,2.3,0,1.2
at Amway Center,1,1,34:02:00,51,7,8,50.7,0,7,0,1,5,0,1,10.0-12.0,0.833,10.0-15.0,0.667,1.0-1.0,1,0.929,59.9,8.2,9.4,64.6,5.9,0,1.2,1.2
at AT&T Center,2,2,36:29:00,25.5,5.5,5.5,20.8,1,4.5,2,0,3,1,2,6.0-9.5,0.632,2.5-10.5,0.238,6.0-6.0,1,0.563,28,6,6,26.3,3.3,2.2,0,6.6
at Ball Arena,2,2,33:43:00,28.5,4.5,8,27.1,1,3.5,3,0.5,6,0,0.5,6.5-10.5,0.619,4.0-10.0,0.4,3.5-3.5,1,0.647,33.8,5.3,9.5,33.8,7.1,3.6,0.6,4.2
at Bankers Life Fieldhouse,1,1,35:39:00,29,7,10,27.2,0,7,3,0,4,0,1,8.0-12.0,0.667,3.0-11.0,0.273,4.0-6.0,0.667,0.566,32.5,7.9,11.2,34.8,4.5,3.4,0,6.7
at Barclays Center,1,1,32:14:00,28,5,2,22.8,0,5,1,0,4,0,2,6.0-8.0,0.75,5.0-9.0,0.556,1.0-4.0,0.25,0.746,34.8,6.2,2.5,28.5,5,1.2,0,5
at Bradley Center,1,1,35:14:00,28,7,5,24.4,2,5,1,0,2,1,2,8.0-13.0,0.615,2.0-8.0,0.25,6.0-7.0,0.857,0.581,31.8,7.9,5.7,30.7,2.3,1.1,0,7.9
at Capital One Arena,1,1,35:41:00,51,7,2,41.8,1,6,3,0,7,1,3,8.0-12.0,0.667,11.0-16.0,0.688,2.0-3.0,0.667,0.87,57.2,7.8,2.2,51.6,7.8,3.4,0,3.4
